ds,y
2016-03-10,16.0
2016-03-11,15.8
2016-03-14,16.0
2016-03-15,15.8
2016-03-16,15.8
2016-03-17,16.3
2016-03-18,16.4
2016-03-21,16.5
2016-03-22,17.2
2016-03-23,17.4
2016-03-24,16.8
2016-03-25,16.9
2016-03-28,17.0
2016-03-29,17.0
2016-03-30,17.5
2016-03-31,16.8
2016-04-01,16.8
2016-04-04,16.8
2016-04-05,17.2
2016-04-06,17.3
2016-04-07,16.8
2016-04-08,16.4
2016-04-11,16.6
2016-04-12,16.5
2016-04-13,16.9
2016-04-14,16.9
2016-04-15,16.9
2016-04-19,16.8
2016-04-20,18.2
2016-04-21,18.4
2016-04-22,18.4
2016-04-25,18.1
2016-04-26,18.3
2016-04-27,18.3
2016-04-28,18.7
2016-04-29,18.7
2016-05-04,19.2
2016-05-05,19.1
2016-05-06,19.1
2016-05-09,19.3
2016-05-10,20.1
2016-05-11,22.0
2016-05-12,21.9
2016-05-13,21.7
2016-05-16,23.4
2016-05-17,23.4
2016-05-18,22.6
2016-05-19,22.7
2016-05-20,22.5
2016-05-23,22.5
2016-05-24,24.1
2016-05-25,24.1
2016-05-26,24.1
2016-05-27,24.8
2016-05-30,24.8
2016-05-31,24.2
2016-06-01,24.2
2016-06-02,24.9
2016-06-03,24.9
2016-06-06,24.7
2016-06-07,25.2
2016-06-08,25.0
2016-06-09,27.5
2016-06-10,28.4
2016-06-13,27.8
2016-06-14,27.7
2016-06-15,27.2
2016-06-16,28.3
2016-06-17,27.3
2016-06-20,27.1
2016-06-21,27.8
2016-06-22,27.7
2016-06-23,27.5
2016-06-24,26.9
2016-06-27,27.7
2016-06-28,29.6
2016-06-29,29.5
2016-06-30,30.0
2016-07-01,30.3
2016-07-04,31.8
2016-07-05,31.5
2016-07-06,31.0
2016-07-07,31.6
2016-07-08,30.7
2016-07-11,29.1
2016-07-12,30.9
2016-07-13,31.0
2016-07-14,30.0
2016-07-15,30.0
2016-07-18,32.6
2016-07-19,32.1
2016-07-20,32.2
2016-07-21,33.2
2016-07-22,33.3
2016-07-25,34.1
2016-07-26,34.0
2016-07-27,34.5
2016-07-28,35.5
2016-07-29,35.6
2016-08-01,34.0
2016-08-02,33.0
2016-08-03,33.1
2016-08-04,33.1
2016-08-05,33.1
2016-08-08,33.2
2016-08-09,34.1
2016-08-10,34.2
2016-08-11,33.6
2016-08-12,34.0
2016-08-15,34.0
2016-08-16,34.1
2016-08-17,34.0
2016-08-18,34.2
2016-08-19,33.8
2016-08-22,33.3
2016-08-23,33.8
2016-08-24,33.9
2016-08-25,33.6
2016-08-26,33.1
2016-08-29,33.1
2016-08-30,33.1
2016-08-31,32.9
2016-09-01,33.0
2016-09-05,33.1
2016-09-06,33.0
2016-09-07,33.0
2016-09-08,32.9
2016-09-09,32.9
2016-09-12,32.0
2016-09-13,29.0
2016-09-14,28.8
2016-09-15,29.2
2016-09-16,28.9
2016-09-19,29.3
2016-09-20,29.6
2016-09-21,31.0
2016-09-22,31.1
2016-09-23,30.5
2016-09-26,29.9
2016-09-27,30.5
2016-09-28,30.9
2016-09-29,31.1
2016-09-30,30.7
2016-10-03,30.7
2016-10-04,30.4
2016-10-05,30.5
2016-10-06,31.0
2016-10-07,31.0
2016-10-10,31.0
2016-10-11,31.1
2016-10-12,31.4
2016-10-13,31.4
2016-10-14,31.4
2016-10-17,30.9
2016-10-18,31.1
2016-10-19,31.1
2016-10-20,30.8
2016-10-21,30.0
2016-10-24,29.8
2016-10-25,29.6
2016-10-26,29.7
2016-10-27,29.6
2016-10-28,29.5
2016-10-31,29.5
2016-11-01,29.5
2016-11-02,29.0
2016-11-03,28.4
2016-11-04,28.4
2016-11-07,29.5
2016-11-08,29.3
2016-11-09,29.0
2016-11-10,29.1
2016-11-11,29.0
2016-11-14,28.8
2016-11-15,28.9
2016-11-16,28.8
2016-11-17,29.3
2016-11-25,29.9
2016-11-28,29.4
2016-11-29,29.4
2016-11-30,29.4
2016-12-01,28.2
2016-12-02,28.2
2016-12-05,27.3
2016-12-06,27.2
2016-12-07,27.1
2016-12-08,27.2
2016-12-09,26.1
2016-12-12,25.0
2016-12-13,25.0
2016-12-14,25.0
2016-12-15,25.0
2016-12-16,25.0
2016-12-19,25.0
2016-12-20,24.9
2016-12-21,24.9
2016-12-22,24.7
2016-12-23,24.0
2016-12-26,23.5
2016-12-27,23.4
2016-12-28,23.0
2016-12-29,22.25
2016-12-30,23.4
2017-01-03,24.6
2017-01-04,24.9
2017-01-05,25.4
2017-01-06,24.5
2017-01-09,26.0
2017-01-10,25.2
2017-01-11,24.95
2017-01-12,25.2
2017-01-13,24.8
2017-01-16,23.5
2017-01-17,25.0
2017-01-18,23.25
2017-01-19,23.7
2017-01-20,22.7
2017-01-23,22.65
2017-01-24,21.8
2017-01-25,21.9
2017-02-02,23.4
